method,page_number,y_coordinate,chunk_index,chunk_text,input_line,similarity_score
token_sort_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,william shakespeare verona italy 1950s for a mere son i,42
token_set_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,william shakespeare verona italy 1950s for a mere son i,78
partial_token_sort_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,william shakespeare verona italy 1950s for a mere son i,53
simple_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,verona italy 1950s verona and i want to keep a,44
partial_ratio,1,535,1,shakespeare verona italy—1590s july romeo son of montague benvoliomontague cousin,verona italy 1950s verona and i want to keep a,59
token_sort_ratio,1,161,24,based on the second quarto of 1599 with corrections and,verona italy 1950s verona and i want to keep a,46
token_set_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,verona italy 1950s verona and i want to keep a,61
partial_token_sort_ratio,1,314,18,escalusprince of verona friar lawrencefranciscan who marries romeo juliet friar,verona italy 1950s verona and i want to keep a,51
simple_ratio,1,338,16,county paris count to wed juliet related to prince prince,in italy 1950s from us and i want to keep,43
partial_ratio,1,535,1,shakespeare verona italy—1590s july romeo son of montague benvoliomontague cousin,in italy 1950s from us and i want to keep,56
token_sort_ratio,1,161,24,based on the second quarto of 1599 with corrections and,in italy 1950s from us and i want to keep,44
token_set_ratio,1,547,0,romeo and juliet by william shakespeare verona italy—1590s july romeo,in italy 1950s from us and i want to keep,52
partial_token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,in italy 1950s from us and i want to keep,47
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,for a mere santa montague youd better value a montague,43
partial_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady,for a mere santa montague youd better value a montague,63
token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague youd better value a montague,41
token_set_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,for a mere santa montague youd better value a montague,60
partial_token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague youd better value a montague,44
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,for a mere santa montague a better value in montague,42
partial_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady,for a mere santa montague a better value in montague,64
token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague a better value in montague,44
token_set_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,for a mere santa montague a better value in montague,59
partial_token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague a better value in montague,46
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,for a mere santa montague youd better value a montague,43
partial_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady,for a mere santa montague youd better value a montague,63
token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague youd better value a montague,41
token_set_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,for a mere santa montague youd better value a montague,60
partial_token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague youd better value a montague,44
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,for a mere santa montague a better value in montague,42
partial_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady,for a mere santa montague a better value in montague,64
token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague a better value in montague,44
token_set_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,for a mere santa montague a better value in montague,59
partial_token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,for a mere santa montague a better value in montague,46
simple_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,so i want to keep in a value of montague,44
partial_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,so i want to keep in a value of montague,55
token_sort_ratio,1,161,27,indicated as 1 first quarto of 1597 2 second quarto,so i want to keep in a value of montague,42
token_set_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,so i want to keep in a value of montague,60
partial_token_sort_ratio,1,161,25,of 1599 with corrections and alternate text from other editions,so i want to keep in a value of montague,47
simple_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,you can throw me a battle for someone to give,46
partial_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,you can throw me a battle for someone to give,50
token_sort_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,you can throw me a battle for someone to give,45
token_set_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady,you can throw me a battle for someone to give,48
partial_token_sort_ratio,1,161,25,of 1599 with corrections and alternate text from other editions,you can throw me a battle for someone to give,51
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,7 to round your apron 1 to 2 7 law,44
partial_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady,7 to round your apron 1 to 2 7 law,48
token_sort_ratio,1,149,30,of 1609 4 fourth quarto of 1622 5 first folio,7 to round your apron 1 to 2 7 law,48
token_set_ratio,1,443,7,capulet age 13 tybalt capulet cousin of juliet sampson capulet,7 to round your apron 1 to 2 7 law,40
partial_token_sort_ratio,1,138,32,of 1623 and for later editions first performed around 1595,7 to round your apron 1 to 2 7 law,59
simple_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,want to do seven law to want to give a,47
partial_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant,want to do seven law to want to give a,52
token_sort_ratio,1,126,34,linenumbering matches the folger library edition of 1992 spelling and,want to do seven law to want to give a,41
token_set_ratio,1,381,12,juliet about 27 nurse capulet servant to juliet peter capulet,want to do seven law to want to give a,47
partial_token_sort_ratio,1,103,39,are given for vocabulary figurative language and allusions this script,want to do seven law to want to give a,47
simple_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,lord montague father of romeo lady montague mother of romeo,49
partial_ratio,1,467,5,lord montaguefather of romeo lady montaguemother of romeo julietdaughter of,lord montague father of romeo lady montague mother of romeo,98
token_sort_ratio,1,91,41,be downloaded from wwwhundsnesscom and used freely for education and,lord montague father of romeo lady montague mother of romeo,43
token_set_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,lord montague father of romeo lady montague mother of romeo,56
partial_token_sort_ratio,2,708,46,rank in fair verona where we lay our scene from,lord montague father of romeo lady montague mother of romeo,50
simple_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,and youre leading on to give mother of romeo juliet,49
partial_ratio,1,467,5,lord montaguefather of romeo lady montaguemother of romeo julietdaughter of,and youre leading on to give mother of romeo juliet,73
token_sort_ratio,1,91,42,used freely for education and performance david hundsness editor 2004,and youre leading on to give mother of romeo juliet,47
token_set_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,and youre leading on to give mother of romeo juliet,59
partial_token_sort_ratio,2,685,50,civil blood makes civil hands unclean civilian from forth the,and youre leading on to give mother of romeo juliet,49
simple_ratio,1,314,19,who marries romeo juliet friar john carries message for friar,thank you mother of romeo juliet daughter of capital at,52
partial_ratio,1,455,6,montaguemother of romeo julietdaughter of capulet age 13 tybalt capulet,thank you mother of romeo juliet daughter of capital at,81
token_sort_ratio,1,91,41,be downloaded from wwwhundsnesscom and used freely for education and,thank you mother of romeo juliet daughter of capital at,41
token_set_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,thank you mother of romeo juliet daughter of capital at,65
partial_token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,thank you mother of romeo juliet daughter of capital at,51
simple_ratio,1,301,20,john carries message for friar lawrence apothecary sells poison to,juliet daughter of capital at age 13 tybalt capital doesnt,42
partial_ratio,1,455,6,montaguemother of romeo julietdaughter of capulet age 13 tybalt capulet,juliet daughter of capital at age 13 tybalt capital doesnt,84
token_sort_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families,juliet daughter of capital at age 13 tybalt capital doesnt,41
token_set_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,juliet daughter of capital at age 13 tybalt capital doesnt,54
partial_token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,juliet daughter of capital at age 13 tybalt capital doesnt,54
simple_ratio,1,301,20,john carries message for friar lawrence apothecary sells poison to,at age of 13 doubled kepler doesnt use yet some,41
partial_ratio,1,443,7,capulet age 13 tybalt capulet cousin of juliet sampson capulet,at age of 13 doubled kepler doesnt use yet some,55
token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,at age of 13 doubled kepler doesnt use yet some,46
token_set_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,at age of 13 doubled kepler doesnt use yet some,48
partial_token_sort_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,at age of 13 doubled kepler doesnt use yet some,51
simple_ratio,1,283,21,lawrence apothecary sells poison to romeo citizens servants musicians guards,capital cousin judy at samsung capital at servant a good,47
partial_ratio,1,418,8,cousin of juliet sampson capulet servant gregorycapulet servant lord capulet,capital cousin judy at samsung capital at servant a good,65
token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,capital cousin judy at samsung capital at servant a good,43
token_set_ratio,1,381,12,juliet about 27 nurse capulet servant to juliet peter capulet,capital cousin judy at samsung capital at servant a good,48
partial_token_sort_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,capital cousin judy at samsung capital at servant a good,43
simple_ratio,1,283,21,lawrence apothecary sells poison to romeo citizens servants musicians guards,judy at samsung capital at servant gregory capital at servant,41
partial_ratio,1,418,8,cousin of juliet sampson capulet servant gregorycapulet servant lord capulet,judy at samsung capital at servant gregory capital at servant,72
token_sort_ratio,2,650,56,piteous overthrows unfortunate pitiful downfall doth 2 with their death,judy at samsung capital at servant gregory capital at servant,41
token_set_ratio,1,381,12,juliet about 27 nurse capulet servant to juliet peter capulet,judy at samsung capital at servant gregory capital at servant,49
partial_token_sort_ratio,2,533,70,strive to mend play act 1 scene 1 verona a,judy at samsung capital at servant gregory capital at servant,43
simple_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,serve in a good green capital at 7th lord capital,41
partial_ratio,1,418,9,servant gregorycapulet servant lord capulet father of juliet in his,serve in a good green capital at 7th lord capital,58
token_sort_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,serve in a good green capital at 7th lord capital,40
token_set_ratio,1,381,12,juliet about 27 nurse capulet servant to juliet peter capulet,serve in a good green capital at 7th lord capital,46
partial_token_sort_ratio,2,533,70,strive to mend play act 1 scene 1 verona a,serve in a good green capital at 7th lord capital,43
simple_ratio,1,161,24,based on the second quarto of 1599 with corrections and,servant lord capulet 5 of juliet and his fifties lady,44
partial_ratio,1,418,9,servant gregorycapulet servant lord capulet father of juliet in his,servant lord capulet 5 of juliet and his fifties lady,76
token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall,servant lord capulet 5 of juliet and his fifties lady,45
token_set_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,servant lord capulet 5 of juliet and his fifties lady,65
partial_token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,servant lord capulet 5 of juliet and his fifties lady,45
simple_ratio,1,161,25,of 1599 with corrections and alternate text from other editions,half of juliet and his fifties they decalred the mother,44
partial_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,half of juliet and his fifties they decalred the mother,64
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,half of juliet and his fifties they decalred the mother,50
token_set_ratio,1,406,10,father of juliet in his 50s lady capulet mother of,half of juliet and his fifties they decalred the mother,67
partial_token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall,half of juliet and his fifties they decalred the mother,50
simple_ratio,1,161,24,based on the second quarto of 1599 with corrections and,lady calcutta martha of juliet about 27 nurt is a,42
partial_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,lady calcutta martha of juliet about 27 nurt is a,80
token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,lady calcutta martha of juliet about 27 nurt is a,43
token_set_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,lady calcutta martha of juliet about 27 nurt is a,76
partial_token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,lady calcutta martha of juliet about 27 nurt is a,49
simple_ratio,1,149,30,of 1609 4 fourth quarto of 1622 5 first folio,of your juliet about 27 nurt is the capital of,46
partial_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,of your juliet about 27 nurt is the capital of,74
token_sort_ratio,2,475,74,word well not carry coals take insults gregory 112 no,of your juliet about 27 nurt is the capital of,48
token_set_ratio,1,394,11,50s lady capulet mother of juliet about 27 nurse capulet,of your juliet about 27 nurt is the capital of,68
partial_token_sort_ratio,2,475,74,word well not carry coals take insults gregory 112 no,of your juliet about 27 nurt is the capital of,49
simple_ratio,1,114,38,directions are clarified side notes are given for vocabulary figurative,north capular servants of juliet beta capular servants of juliet,46
partial_ratio,1,363,13,servant to juliet peter capulet servant to nurse mercutio friend,north capular servants of juliet beta capular servants of juliet,68
token_sort_ratio,2,498,73,sampson 111 gregory on my word well not carry coals,north capular servants of juliet beta capular servants of juliet,42
token_set_ratio,1,381,12,juliet about 27 nurse capulet servant to juliet peter capulet,north capular servants of juliet beta capular servants of juliet,65
partial_token_sort_ratio,2,428,82,you live draw your neck out of the 1 collar,north capular servants of juliet beta capular servants of juliet,49
simple_ratio,1,114,37,some indications of pronunciation stage directions are clarified side notes,servants of juliet bita capus saunton urse the kyusho friend,44
partial_ratio,1,363,13,servant to juliet peter capulet servant to nurse mercutio friend,servants of juliet bita capus saunton urse the kyusho friend,68
token_sort_ratio,2,463,76,for then we should be colliers coal miners sampson 113,servants of juliet bita capus saunton urse the kyusho friend,44
token_set_ratio,1,363,13,servant to juliet peter capulet servant to nurse mercutio friend,servants of juliet bita capus saunton urse the kyusho friend,60
partial_token_sort_ratio,2,358,88,strike sampson 118 a dog of the house of montague,servants of juliet bita capus saunton urse the kyusho friend,49
simple_ratio,1,114,37,some indications of pronunciation stage directions are clarified side notes,the capitol so its a nurse the qshow friend of,43
partial_ratio,1,363,13,servant to juliet peter capulet servant to nurse mercutio friend,the capitol so its a nurse the qshow friend of,60
token_sort_ratio,2,405,83,out of the 1 collar take noose sampson 116 i,the capitol so its a nurse the qshow friend of,58
token_set_ratio,1,363,13,servant to juliet peter capulet servant to nurse mercutio friend,the capitol so its a nurse the qshow friend of,57
partial_token_sort_ratio,2,358,88,strike sampson 118 a dog of the house of montague,the capitol so its a nurse the qshow friend of,54
simple_ratio,1,114,37,some indications of pronunciation stage directions are clarified side notes,the qshow friend of romeo related to prince come to,43
partial_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,the qshow friend of romeo related to prince come to,82
token_sort_ratio,2,335,90,moves me gregory 119 to move is to stir and,the qshow friend of romeo related to prince come to,47
token_set_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,the qshow friend of romeo related to prince come to,81
partial_token_sort_ratio,2,323,92,to be valiant is to stand brave therefore if thou,the qshow friend of romeo related to prince come to,52
simple_ratio,2,720,45,both alike in dignity families rank in fair verona where,related to prints come to paris count to where juliet,42
partial_ratio,1,351,15,of romeo related to prince county paris count to wed,related to prints come to paris count to where juliet,77
token_sort_ratio,2,335,91,move is to stir and to be valiant is to,related to prints come to paris count to where juliet,48
token_set_ratio,1,338,16,county paris count to wed juliet related to prince prince,related to prints come to paris count to where juliet,85
partial_token_sort_ratio,2,335,91,move is to stir and to be valiant is to,related to prints come to paris count to where juliet,54
simple_ratio,2,708,46,rank in fair verona where we lay our scene from,count to what juliette related to prince princess count to,40
partial_ratio,1,338,16,county paris count to wed juliet related to prince prince,count to what juliette related to prince princess count to,81
token_sort_ratio,2,335,91,move is to stir and to be valiant is to,count to what juliette related to prince princess count to,47
token_set_ratio,1,338,16,county paris count to wed juliet related to prince prince,count to what juliette related to prince princess count to,80
partial_token_sort_ratio,2,335,91,move is to stir and to be valiant is to,count to what juliette related to prince princess count to,58
simple_ratio,2,720,45,both alike in dignity families rank in fair verona where,yet related to prince pontus cammius prince of orona for,50
partial_ratio,1,326,17,juliet related to prince prince escalusprince of verona friar lawrencefranciscan,yet related to prince pontus cammius prince of orona for,80
token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,yet related to prince pontus cammius prince of orona for,42
token_set_ratio,1,351,15,of romeo related to prince county paris count to wed,yet related to prince pontus cammius prince of orona for,65
partial_token_sort_ratio,2,335,91,move is to stir and to be valiant is to,yet related to prince pontus cammius prince of orona for,44
simple_ratio,2,708,47,we lay our scene from ancient grudge break to new,mary sparrow truly yet for our term carries a message,41
partial_ratio,1,314,19,who marries romeo juliet friar john carries message for friar,mary sparrow truly yet for our term carries a message,62
token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,mary sparrow truly yet for our term carries a message,49
token_set_ratio,1,314,19,who marries romeo juliet friar john carries message for friar,mary sparrow truly yet for our term carries a message,61
partial_token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,mary sparrow truly yet for our term carries a message,50
simple_ratio,2,708,47,we lay our scene from ancient grudge break to new,career sales deposit for our mio citizens serve the musician,44
partial_ratio,1,283,21,lawrence apothecary sells poison to romeo citizens servants musicians guards,career sales deposit for our mio citizens serve the musician,68
token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,career sales deposit for our mio citizens serve the musician,44
token_set_ratio,1,283,21,lawrence apothecary sells poison to romeo citizens servants musicians guards,career sales deposit for our mio citizens serve the musician,59
partial_token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,career sales deposit for our mio citizens serve the musician,49
simple_ratio,2,697,49,mutiny rivalry outbreaks fighting where civil blood makes civil hands,in the server musician art etc shakespeares complete original script,41
partial_ratio,1,173,22,romeo citizens servants musicians guards etc shakespeare’s complete original script,in the server musician art etc shakespeares complete original script,87
token_sort_ratio,2,218,106,true and therefore women being the weaker vessels gender are,in the server musician art etc shakespeares complete original script,41
token_set_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,in the server musician art etc shakespeares complete original script,79
partial_token_sort_ratio,2,265,100,them step aside gregory 1114 that shows thee a weak,in the server musician art etc shakespeares complete original script,45
simple_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,shakespeares complete original script based on the same quarter of,41
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,shakespeares complete original script based on the same quarter of,92
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,shakespeares complete original script based on the same quarter of,46
token_set_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,shakespeares complete original script based on the same quarter of,87
partial_token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,shakespeares complete original script based on the same quarter of,44
simple_ratio,2,638,58,bury their parents strife do end fighting the fearful passage,this appears to be a complete original script based on,45
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,this appears to be a complete original script based on,80
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,this appears to be a complete original script based on,46
token_set_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,this appears to be a complete original script based on,76
partial_token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,this appears to be a complete original script based on,47
simple_ratio,2,638,58,bury their parents strife do end fighting the fearful passage,quarter of a 99 of corrections and also take some,42
partial_ratio,1,161,24,based on the second quarto of 1599 with corrections and,quarter of a 99 of corrections and also take some,67
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,quarter of a 99 of corrections and also take some,44
token_set_ratio,1,161,24,based on the second quarto of 1599 with corrections and,quarter of a 99 of corrections and also take some,73
partial_token_sort_ratio,2,288,98,the wall of any man or maid of montagues make,quarter of a 99 of corrections and also take some,52
simple_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,of corrections and alternate text and other additions indicated as,46
partial_ratio,1,161,25,of 1599 with corrections and alternate text from other editions,of corrections and alternate text and other additions indicated as,83
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,of corrections and alternate text and other additions indicated as,46
token_set_ratio,1,161,25,of 1599 with corrections and alternate text from other editions,of corrections and alternate text and other additions indicated as,82
partial_token_sort_ratio,2,288,98,the wall of any man or maid of montagues make,of corrections and alternate text and other additions indicated as,49
simple_ratio,2,580,67,which if you with patient ears attend listen what here,some other additions indicated as first quarter by 1597 so,43
partial_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,some other additions indicated as first quarter by 1597 so,82
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,some other additions indicated as first quarter by 1597 so,46
token_set_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,some other additions indicated as first quarter by 1597 so,75
partial_token_sort_ratio,2,218,106,true and therefore women being the weaker vessels gender are,some other additions indicated as first quarter by 1597 so,47
simple_ratio,2,592,66,of our stage performance the which if you with patient,quarter 16 for quarter 622 first fernio of 1623 and,40
partial_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,quarter 16 for quarter 622 first fernio of 1623 and,72
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,quarter 16 for quarter 622 first fernio of 1623 and,47
token_set_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,quarter 16 for quarter 622 first fernio of 1623 and,84
partial_token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,quarter 16 for quarter 622 first fernio of 1623 and,53
simple_ratio,2,533,71,1 scene 1 verona a street morning sampson gregory armed,16th point 4th quarter 622 1st fernio of 1623 and,40
partial_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,16th point 4th quarter 622 1st fernio of 1623 and,66
token_sort_ratio,2,159,114,masters and us their men menservants sampson 1122 tis all,16th point 4th quarter 622 1st fernio of 1623 and,40
token_set_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,16th point 4th quarter 622 1st fernio of 1623 and,63
partial_token_sort_ratio,2,139,121,maids and 5 cut off their heads i will 2,16th point 4th quarter 622 1st fernio of 1623 and,43
simple_ratio,2,475,74,word well not carry coals take insults gregory 112 no,fourth quarter of 622 first fernio of 1623 and for,45
partial_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,fourth quarter of 622 first fernio of 1623 and for,82
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,fourth quarter of 622 first fernio of 1623 and for,46
token_set_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,fourth quarter of 622 first fernio of 1623 and for,78
partial_token_sort_ratio,2,139,121,maids and 5 cut off their heads i will 2,fourth quarter of 622 first fernio of 1623 and for,47
simple_ratio,2,475,75,take insults gregory 112 no for then we should be,to the first fernio of 1623 and for the latter,53
partial_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,to the first fernio of 1623 and for the latter,77
token_sort_ratio,2,183,112,the wall women gregory 1120 the quarrel is between our,to the first fernio of 1623 and for the latter,52
token_set_ratio,1,149,31,of 1622 5 first folio of 1623 and for later,to the first fernio of 1623 and for the latter,76
partial_token_sort_ratio,3,743,125,the heads of the maids or their maidenheads virginity take,to the first fernio of 1623 and for the latter,56
simple_ratio,2,428,80,and 2 angered draw our weapons gregory 114 ay while,of 1623 and for that traditions first before round 1595,42
partial_ratio,1,138,32,of 1623 and for later editions first performed around 1595,of 1623 and for that traditions first before round 1595,84
token_sort_ratio,2,194,111,and thrust his maids to the wall women gregory 1120,of 1623 and for that traditions first before round 1595,47
token_set_ratio,1,138,32,of 1623 and for later editions first performed around 1595,of 1623 and for that traditions first before round 1595,71
partial_token_sort_ratio,3,755,124,the maids sampson 1126 ay the heads of the maids,of 1623 and for that traditions first before round 1595,49
simple_ratio,2,428,80,and 2 angered draw our weapons gregory 114 ay while,and fill that tradition in space before around 1595 the,42
